system:index,ID,mean,median,source,stdDev,.geo
1_1_19840414_12,UCDSNM011600,0.12858144404286165,0.1298692673444748,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.004131489020052923,
1_1_19840414_22,UCDSNM016589,0.12409809946911324,0.09932562531459899,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.07416706324539567,
1_1_19840414_19,UCDSNM015782,0.27479493356013035,0.2741764187812805,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.030279296954665753,
1_1_19840414_6,UCDSNM004476,0.03434208273473713,0.03407377377152443,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.00457465150800564,
1_1_19840414_10,UCDSNM011455,0.12923473924664514,0.1298692673444748,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.004203390642604246,
1_1_19840414_9,UCDSNM011447,0.12749670735663837,0.12784895300865173,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.003640696521186249,
1_1_19840414_11,UCDSNM011536,0.12920339813544637,0.1298692673444748,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.0030737674763082106,
1_1_19840414_7,UCDSNM005339,0.04218751656707753,0.042822644114494324,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.01487848256399619,
1_1_19840414_21,UCDSNM016565,0.16664252232658328,0.16966038942337036,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.12196912910099385,
1_1_19840414_20,UCDSNM016357,0.07428984629688784,0.05982642620801926,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.06377562050677421,
1_1_19840414_23,UCDSNM016769,0.3211217286686103,0.30650101602077484,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.05385601112938883,
1_1_19840414_5,UCDSNM003796,0.043956123969771645,0.04393259435892105,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.002633981278325129,
1_1_19840414_2,UCDSNM000195,0.2743223990712847,0.282849058508873,LANDSAT/LT5_L1T_8DAY_NDVI/19840414,0.03834793710899076,
1_1_19840422_12,UCDSNM011600,0.05595595477476865,0.05540683575802379,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.014477103094156236,
1_1_19840422_18,UCDSNM014503,0.004497664229853781,0.006253612693399191,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.039978742234267575,
1_1_19840422_10,UCDSNM011455,0.07697892967855426,0.10693076873819032,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.06102473556639044,
1_1_19840422_9,UCDSNM011447,0.08053492447814076,0.08832572400569916,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.027314403330799927,
1_1_19840422_11,UCDSNM011536,0.0673414001219152,0.04696081951260567,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.05482964364567329,
1_1_19840422_16,UCDSNM013064,0.10256123170256615,0.10159377753734589,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.02778780154318673,
1_1_19840422_7,UCDSNM005339,0.1251905057788565,0.12784896790981293,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.008489166196686873,
1_1_19840422_15,UCDSNM012985,0.07254538177089258,0.0721493810415268,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.006767433095964185,
1_1_19840422_14,UCDSNM012863,0.3347301989793777,0.35823145508766174,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.05946336334654116,
1_1_19840422_17,UCDSNM014209,0.10472593528146927,0.08352135121822357,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.06978134525552289,
1_1_19840422_8,UCDSNM009725,0.4971113622188568,0.4973008334636688,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.023539208677608024,
