system:index,ID,max,mean,median,source,stdDev,.geo
1_1_19840414_12,UCDSNM011600,0.6402921676635742,0.6237817079917933,0.6266727447509766,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.007140282417124929,
1_1_19840414_22,UCDSNM016589,0.37986132502555847,0.221231201441463,0.2234874562575267,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.06783413158876041,
1_1_19840414_19,UCDSNM015782,0.4038485288619995,0.2594482497527049,0.25420378893613815,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.03524293857090688,
1_1_19840414_6,UCDSNM004476,0.369113564491272,0.35426983954729857,0.3537992835044861,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.00788995954170476,
1_1_19840414_10,UCDSNM011455,0.623303234577179,0.6130501292645931,0.6132777333259583,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.003932580500306596,
1_1_19840414_9,UCDSNM011447,0.6166057586669922,0.6033401067058245,0.6033753156661987,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.004078555402783325,
1_1_19840414_7,UCDSNM005339,0.6946883797645569,0.5879719655835227,0.6113255023956299,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.064005718146433,
1_1_19840414_21,UCDSNM016565,0.2873835861682892,0.17594786236683527,0.19003765285015106,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.07019192258977357,
1_1_19840414_20,UCDSNM016357,0.7941687703132629,0.6785239386558533,0.6855401396751404,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.07272499626343502,
1_1_19840414_23,UCDSNM016769,0.5656077861785889,0.32995958637911826,0.35499581694602966,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.13461335477335418,
1_1_19840414_5,UCDSNM003796,0.23195938766002655,0.22943071343682028,0.229524627327919,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.0025114074822513302,
1_1_19840414_2,UCDSNM000195,0.4467722177505493,0.09684475579498601,0.07956257462501526,LANDSAT/LT5_L1T_8DAY_NDWI/19840414,0.12777833792165336,
1_1_19840422_12,UCDSNM011600,0.6388892531394958,0.30530794222291524,0.26706957817077637,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.1151796884374269,
1_1_19840422_18,UCDSNM014503,0.933661162853241,0.8221658760471566,0.8805485459474417,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.1299334240653565,
1_1_19840422_10,UCDSNM011455,0.9185210466384888,0.8674333622413022,0.8937633335590363,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.0677118960546396,
1_1_19840422_9,UCDSNM011447,0.9313912987709045,0.9185614031222131,0.9201336801052094,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.00918419713311381,
1_1_19840422_11,UCDSNM011536,0.9334204196929932,0.8648886623836699,0.8975341022014618,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.08159314045570135,
1_1_19840422_16,UCDSNM013064,0.8052893280982971,0.6168929100036621,0.664839506149292,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.16308994400971857,
1_1_19840422_7,UCDSNM005339,0.40000051259994507,0.2841342436463645,0.29368650913238525,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.045011673879876826,
1_1_19840422_15,UCDSNM012985,0.6088666915893555,0.42447959834879095,0.4646831154823303,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.10888929212534906,
1_1_19840422_14,UCDSNM012863,0.44093436002731323,0.38069669008255,0.38273072242736816,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.045020809221483674,
1_1_19840422_17,UCDSNM014209,0.8958037495613098,0.8249042813594525,0.8284014463424683,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.03648577345190967,
1_1_19840422_8,UCDSNM009725,0.24420449137687683,0.20931143462657928,0.21227124333381653,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.0318772921432473,
1_1_19840422_13,UCDSNM012349,0.8533549904823303,0.7877068122227987,0.8228681683540344,LANDSAT/LT5_L1T_8DAY_NDWI/19840422,0.07236151485853565,
1_1_19840430_4,UCDSNM001115,0.8999562859535217,0.1634912730778962,0.10820418689399958,LANDSAT/LT5_L1T_8DAY_NDWI/19840430,0.3230476076417063,
1_1_19840430_12,UCDSNM011600,0.3449030816555023,0.23772253155510292,0.23413714207708836,LANDSAT/LT5_L1T_8DAY_NDWI/19840430,0.024088574710468443,
1_1_19840430_18,UCDSNM014503,0.23263981938362122,0.21932947850965578,0.21921555697917938,LANDSAT/LT5_L1T_8DAY_NDWI/19840430,9.884919221359893E-4,
1_1_19840430_2,UCDSNM000195,0.20416738092899323,0.019379392987113015,0.024851675145328045,LANDSAT/LT5_L1T_8DAY_NDWI/19840430,0.0667796246452597,
1_1_19840508_3,UCDSNM000426,0.6327669620513916,-0.0603012626656354,-0.08003515063932068,LANDSAT/LT5_L1T_8DAY_NDWI/19840508,0.12096764657720542,
1_1_19840508_4,UCDSNM001115,0.7537856101989746,-0.05431884179305088,-0.08896783446627003,LANDSAT/LT5_L1T_8DAY_NDWI/19840508,0.14971524195576602,
1_1_19840508_7,UCDSNM005339,0.47018134593963623,-0.020601619526827604,-0.04941501095890999,LANDSAT/LT5_L1T_8DAY_NDWI/19840508,0.1325848255178312,
