PLOT,METHOD,PLOTNAME2,UCDavis_Object_ID
ELD0101,rooted frequency,ELD0101 -ONION VALLEY,UCDSNM012349
ELD0102,rooted frequency,ELD0102 -WILLOW FLAT,UCDSNM012372
ELD0103,rooted frequency,ELD0103 -UPPER FOSTER,UCDSNM012479
ELD0104,rooted frequency,ELD0104 -BARNEY MEADOW,UCDSNM012306
ELD0105,rooted frequency,ELD0105 -CODY MEADOW,UCDSNM012992
ELD0106,rooted frequency,ELD0106 -GOVERNMENT MEADOW,UCDSNM012863
ELD0107,rooted frequency,ELD0107 -JAKE SCHNEIDER MDW,UCDSNM012847
ELD0109,rooted frequency,ELD0109 -Shaw Flat,UCDSNM012729
ELD0110,rooted frequency,ELD0110 -Dufrene Meadow,UCDSNM012404
INY0101,rooted frequency,INY0101 -COYOTE CREEK,UCDSNM005877
INY0102,greenline,INY0102 -Coyote Cr West fork,UCDSNM005877
INY0103,rooted frequency,INY0103 -SANGER,UCDSNM005630
INY0104,rooted frequency,INY0104 -LOWER BAKER CREEK,UCDSNM005371
INY0105,rooted frequency,INY0105 -UPPER BAKER,UCDSNM005339
INY0113,rooted frequency,INY0113 -Bakeoven Meadow,UCDSNM000426
INY0114,rooted frequency,INY0114 -Upper Monache Meadow,UCDSNM000426
INY0115,rooted frequency,INY0115 -Lower Monache Meadow,UCDSNM000426
INY0116,rooted frequency,INY0116 -Kingfisher Stringer Meadow,UCDSNM000398
INY0117,greenline,INY0117 -Long Canyon Greenline,UCDSNM000437
INY0118,rooted frequency,INY0118 -Casa Vieja Outside Fence,UCDSNM000365
INY0119,rooted frequency,INY0119 -Casa Vieja Inside Fence,UCDSNM000365
INY0120,rooted frequency,INY0120 -Upper Casa Vieja,UCDSNM000365
INY0121,rooted frequency,INY0121 -Redrock Meadow,UCDSNM000463
INY0122,rooted frequency,INY0122 -Beer Keg Meadow,UCDSNM000437
INY0130,rooted frequency,INY0130 -POISON,UCDSNM001115
INY0131,rooted frequency,INY0131 -ROUND,UCDSNM001115
INY0132,rooted frequency,INY0132 -ADMIN SITE,UCDSNM001115
INY0135,rooted frequency,INY0135 -OVERHOLSTER MEADOW,UCDSNM000795
