"WY" "source" "system.index" "image_date" "mean" "median" "std" "variance" "date" "meadow" "DOY" "DOWY" "WYTYPE"
"1" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840609" 1119840609 455587200000 0.231972214713785 0.234622344374657 0.0971672052470241 0.00944146577551731 "19840609" "HerringCreek" 161 253 "AN"
"2" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840812" 1119840812 461116800000 NA NA NA NA "19840812" "BullCreek" 225 317 "AN"
"3" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840609" 1119840609 455587200000 0.23308836966753 0.266416072845459 0.142102478676608 0.0201931144460358 "19840609" "BullCreek" 161 253 "AN"
"4" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840406" 1119840406 450057600000 0.869294265782611 0.901574452718099 0.0782594200056136 0.00612453681961503 "19840406" "HerringCreek" 97 189 "AN"
"5" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840508" 1119840508 452822400000 0.879853749127121 0.916519224643707 0.0834554407226149 0.0069648105862059 "19840508" "HerringCreek" 129 221 "AN"
"6" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840711" 1119840711 4.58352e+11 0.152423923855404 0.149082130619458 0.0845846364424068 0.00715456072209412 "19840711" "HerringCreek" 193 285 "AN"
"7" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840305" 1119840305 447292800000 NA NA NA NA "19840305" "HerringCreek" 65 157 "AN"
"8" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840305" 1119840305 447292800000 NA NA NA NA "19840305" "BullCreek" 65 157 "AN"
"9" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840406" 1119840406 450057600000 0.228633788769895 0.229270130395889 0.0033081120768157 1.09436055127739e-05 "19840406" "BullCreek" 97 189 "AN"
"10" 1984 "LANDSAT/LT5_L1T_32DAY_NDWI/19840508" 1119840508 452822400000 0.183739085630937 0.183011800050735 0.00847028106383959 7.17456613004395e-05 "19840508" "BullCreek" 129 221 "AN"
