"""rowid"" ""WY"" ""source"" ""system.index"" ""image_date"" ""mean"" ""median"" ""std"" ""variance"" ""date"" ""meadow"" ""DOY"" ""DOWY"" ""WYTYPE"""
"1 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840913"" 1119840913 463881600000 0.00264793487630137 -0.0146074642737707 0.0960089976044179 0.00921772762100512 ""19840913"" ""HerringCreek"" 257 349 ""AN"""
"2 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840321"" 1119840321 448675200000 NA NA NA NA ""19840321"" ""BullCreek"" 81 173 ""AN"""
"3 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840828"" 1119840828 462499200000 NA NA NA NA ""19840828"" ""HerringCreek"" 241 333 ""AN"""
"4 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840905"" 1119840905 463190400000 NA NA NA NA ""19840905"" ""HerringCreek"" 249 341 ""AN"""
"5 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840321"" 1119840321 448675200000 NA NA NA NA ""19840321"" ""HerringCreek"" 81 173 ""AN"""
"6 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840406"" 1119840406 450057600000 NA NA NA NA ""19840406"" ""HerringCreek"" 97 189 ""AN"""
"7 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840905"" 1119840905 463190400000 NA NA NA NA ""19840905"" ""Shorthair"" 249 341 ""AN"""
"8 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840313"" 1119840313 4.47984e+11 NA NA NA NA ""19840313"" ""HerringCreek"" 73 165 ""AN"""
"9 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840921"" 1119840921 464572800000 NA NA NA NA ""19840921"" ""Shorthair"" 265 357 ""AN"""
"10 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840313"" 1119840313 4.47984e+11 NA NA NA NA ""19840313"" ""BullCreek"" 73 165 ""AN"""
"11 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840820"" 1119840820 4.61808e+11 NA NA NA NA ""19840820"" ""HerringCreek"" 233 325 ""AN"""
"12 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840313"" 1119840313 4.47984e+11 NA NA NA NA ""19840313"" ""Shorthair"" 73 165 ""AN"""
"13 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840321"" 1119840321 448675200000 NA NA NA NA ""19840321"" ""Shorthair"" 81 173 ""AN"""
"14 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840406"" 1119840406 450057600000 NA NA NA NA ""19840406"" ""BullCreek"" 97 189 ""AN"""
"15 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840921"" 1119840921 464572800000 NA NA NA NA ""19840921"" ""HerringCreek"" 265 357 ""AN"""
"16 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840929"" 1119840929 4.65264e+11 0.13193951201696 0.0797406186660131 0.150251424148309 0.022575490458595 ""19840929"" ""HerringCreek"" 273 365 ""AN"""
"17 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840812"" 1119840812 461116800000 NA NA NA NA ""19840812"" ""Shorthair"" 225 317 ""AN"""
"18 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840820"" 1119840820 4.61808e+11 NA NA NA NA ""19840820"" ""Shorthair"" 233 325 ""AN"""
"19 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840828"" 1119840828 462499200000 NA NA NA NA ""19840828"" ""Shorthair"" 241 333 ""AN"""
"20 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840524"" 1119840524 454204800000 NA NA NA NA ""19840524"" ""BullCreek"" 145 237 ""AN"""
"21 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840913"" 1119840913 463881600000 NA NA NA NA ""19840913"" ""Shorthair"" 257 349 ""AN"""
"22 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840414"" 1119840414 450748800000 NA NA NA NA ""19840414"" ""HerringCreek"" 105 197 ""AN"""
"23 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840929"" 1119840929 4.65264e+11 NA NA NA NA ""19840929"" ""Shorthair"" 273 365 ""AN"""
"24 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840812"" 1119840812 461116800000 NA NA NA NA ""19840812"" ""HerringCreek"" 225 317 ""AN"""
"25 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840625"" 1119840625 456969600000 NA NA NA NA ""19840625"" ""Shorthair"" 177 269 ""AN"""
"26 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840703"" 1119840703 457660800000 0.172710759364642 0.154837968945503 0.106214000164124 0.0112814138308646 ""19840703"" ""Shorthair"" 185 277 ""AN"""
"27 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840406"" 1119840406 450057600000 NA NA NA NA ""19840406"" ""Shorthair"" 97 189 ""AN"""
"28 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840414"" 1119840414 450748800000 0.228633788769895 0.229270130395889 0.0033081120768157 1.09436055127739e-05 ""19840414"" ""BullCreek"" 105 197 ""AN"""
"29 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840422"" 1119840422 4.5144e+11 NA NA NA NA ""19840422"" ""BullCreek"" 113 205 ""AN"""
"30 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840430"" 1119840430 452131200000 NA NA NA NA ""19840430"" ""BullCreek"" 121 213 ""AN"""
"31 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840508"" 1119840508 452822400000 NA NA NA NA ""19840508"" ""BullCreek"" 129 221 ""AN"""
