system:index,image_date,mean,median,source,std,variance,.geo
1_1_19840305,447292800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19840305,{NDWI=null},{NDWI=null},
1_1_19840406,450057600000,{NDWI=0.32705007099794525},{NDWI=0.3332417776187261},LANDSAT/LT5_L1T_32DAY_NDWI/19840406,{NDWI=0.06397715349002178},{NDWI=0.004093076168685806},
1_1_19840508,452822400000,{NDWI=0.3444946574501277},{NDWI=0.3467160470428921},LANDSAT/LT5_L1T_32DAY_NDWI/19840508,{NDWI=0.035895967361769233},{NDWI=0.0012885204728372021},
1_1_19840609,455587200000,{NDWI=0.22741482721942213},{NDWI=0.24368016123771669},LANDSAT/LT5_L1T_32DAY_NDWI/19840609,{NDWI=0.10030866330964186},{NDWI=0.01006182793496709},
1_1_19840711,458352000000,{NDWI=0.023796196893157366},{NDWI=0.014305422893695293},LANDSAT/LT5_L1T_32DAY_NDWI/19840711,{NDWI=0.10421124743025917},{NDWI=0.010859984090970698},
1_1_19840812,461116800000,{NDWI=-0.05550240586315924},{NDWI=-0.08020000663158056},LANDSAT/LT5_L1T_32DAY_NDWI/19840812,{NDWI=0.09519798753381302},{NDWI=0.00906265683048802},
1_1_19840913,463881600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19840913,{NDWI=null},{NDWI=null},
1_1_19841015,466646400000,{NDWI=0.08785542173553296},{NDWI=0.08390924190321276},LANDSAT/LT5_L1T_32DAY_NDWI/19841015,{NDWI=0.10271749638733588},{NDWI=0.01055088406408236},
1_1_19841116,469411200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19841116,{NDWI=null},{NDWI=null},
1_1_19841218,472176000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19841218,{NDWI=null},{NDWI=null},
1_1_19850101,473385600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19850101,{NDWI=null},{NDWI=null},
1_1_19850202,476150400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19850202,{NDWI=null},{NDWI=null},
1_1_19850306,478915200000,{NDWI=0.9066472969434809},{NDWI=0.9318345305639938},LANDSAT/LT5_L1T_32DAY_NDWI/19850306,{NDWI=0.06977758519361342},{NDWI=0.004868911395451979},
1_1_19850407,481680000000,{NDWI=0.2684196874334951},{NDWI=0.2717176204727542},LANDSAT/LT5_L1T_32DAY_NDWI/19850407,{NDWI=0.11901532614390292},{NDWI=0.014164647857139584},
1_1_19850509,484444800000,{NDWI=0.2926227647212201},{NDWI=0.29920494556427},LANDSAT/LT5_L1T_32DAY_NDWI/19850509,{NDWI=0.12368241816187282},{NDWI=0.015297340562368367},
1_1_19850610,487209600000,{NDWI=0.07429589211246443},{NDWI=0.06469702485360597},LANDSAT/LT5_L1T_32DAY_NDWI/19850610,{NDWI=0.11990319996071742},{NDWI=0.014376777360819788},
1_1_19850712,489974400000,{NDWI=-0.06858060835404216},{NDWI=-0.09559553991193356},LANDSAT/LT5_L1T_32DAY_NDWI/19850712,{NDWI=0.10536585371360428},{NDWI=0.011101963128796659},
1_1_19850813,492739200000,{NDWI=0.10161510845539704},{NDWI=0.09551455390950044},LANDSAT/LT5_L1T_32DAY_NDWI/19850813,{NDWI=0.12106479920163071},{NDWI=0.014656685605731166},
1_1_19850914,495504000000,{NDWI=-0.08844460886823546},{NDWI=-0.12260157630468409},LANDSAT/LT5_L1T_32DAY_NDWI/19850914,{NDWI=0.11780650234573936},{NDWI=0.013878371994936694},
