system:index,image_date,mean,median,source,std,variance,.geo
1_1_19840305,447292800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19840305,{NDWI=null},{NDWI=null},
1_1_19840406,450057600000,{NDWI=0.21932583773935144},{NDWI=0.21921555697917938},LANDSAT/LT5_L1T_32DAY_NDWI/19840406,{NDWI=9.696310417139736E-4},{NDWI=9.401843570553256E-7},
1_1_19840508,452822400000,{NDWI=0.06277946333133204},{NDWI=-0.011773160804295912},LANDSAT/LT5_L1T_32DAY_NDWI/19840508,{NDWI=0.24313501931580941},{NDWI=0.05911463761769902},
1_1_19840609,455587200000,{NDWI=0.11597046485331897},{NDWI=0.09791020816192031},LANDSAT/LT5_L1T_32DAY_NDWI/19840609,{NDWI=0.16926986969067725},{NDWI=0.028652288785098855},
1_1_19840711,458352000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19840711,{NDWI=null},{NDWI=null},
1_1_19840812,461116800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19840812,{NDWI=null},{NDWI=null},
1_1_19840913,463881600000,{NDWI=-0.019442495640920356},{NDWI=-0.02538637343352124},LANDSAT/LT5_L1T_32DAY_NDWI/19840913,{NDWI=0.07627058527045437},{NDWI=0.005817202177497652},
1_1_19841015,466646400000,{NDWI=0.7712291861991827},{NDWI=0.7730216367603981},LANDSAT/LT5_L1T_32DAY_NDWI/19841015,{NDWI=0.020339579523163225},{NDWI=4.136984951790807E-4},
1_1_19841116,469411200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19841116,{NDWI=null},{NDWI=null},
1_1_19841218,472176000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19841218,{NDWI=null},{NDWI=null},
1_1_19850101,473385600000,{NDWI=0.9049804669653599},{NDWI=0.9113480813211674},LANDSAT/LT5_L1T_32DAY_NDWI/19850101,{NDWI=0.026855378001183088},{NDWI=7.212113275864285E-4},
1_1_19850202,476150400000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19850202,{NDWI=null},{NDWI=null},
