system:index,ID,mean,median,source,stdDev,.geo
1_1_19840422_5,UCDSNM014503,0.004502926329251702,0.006253612693399191,LANDSAT/LT5_L1T_8DAY_NDVI/19840422,0.03993213673255666,
1_1_19840430_5,UCDSNM014503,0.126542624620507,0.12784893810749054,LANDSAT/LT5_L1T_8DAY_NDVI/19840430,0.004584637227091443,
1_1_19840524_5,UCDSNM014503,0.1926417901859361,0.22482252245148024,LANDSAT/LT5_L1T_8DAY_NDVI/19840524,0.10639484362238624,
1_1_19840625_5,UCDSNM014503,0.4869638809554164,0.4964515229066213,LANDSAT/LT5_L1T_8DAY_NDVI/19840625,0.155619996848892,
1_1_19840913_5,UCDSNM014503,0.41569854497794256,0.42531660695870716,LANDSAT/LT5_L1T_8DAY_NDVI/19840913,0.07367042739776238,
1_1_19840929_5,UCDSNM014503,0.3621953525499403,0.36243035395940143,LANDSAT/LT5_L1T_8DAY_NDVI/19840929,0.05336069442359045,
1_1_19841015_5,UCDSNM014503,0.019325186040162264,0.016127672512084246,LANDSAT/LT5_L1T_8DAY_NDVI/19841015,0.01574389762642386,
1_1_19850117_5,UCDSNM014503,-0.003865398598300195,-0.011103062036757668,LANDSAT/LT5_L1T_8DAY_NDVI/19850117,0.027295468279489914,
1_1_19850509_5,UCDSNM014503,0.17262781018310638,0.2018652237378634,LANDSAT/LT5_L1T_8DAY_NDVI/19850509,0.09439839802956919,
1_1_19850610_5,UCDSNM014503,0.45269406400981216,0.4473732736977664,LANDSAT/LT5_L1T_8DAY_NDVI/19850610,0.11887827196684352,
1_1_19850712_5,UCDSNM014503,0.5253283424263305,0.5297771592934927,LANDSAT/LT5_L1T_8DAY_NDVI/19850712,0.10547197843299347,
1_1_19850728_5,UCDSNM014503,0.5257017775447733,0.5376730362574259,LANDSAT/LT5_L1T_8DAY_NDVI/19850728,0.10214945564912352,
1_1_19850813_5,UCDSNM014503,0.480392322045115,0.4895287912625533,LANDSAT/LT5_L1T_8DAY_NDVI/19850813,0.08225662293752573,
1_1_19850930_5,UCDSNM014503,0.30182411634260553,0.3040046519958056,LANDSAT/LT5_L1T_8DAY_NDVI/19850930,0.044092133481826744,
1_1_19851016_5,UCDSNM014503,0.05288469917870467,0.05327245071530342,LANDSAT/LT5_L1T_8DAY_NDVI/19851016,0.007154373241461157,
1_1_19851117_5,UCDSNM014503,0.034241634696664386,0.02656085565686226,LANDSAT/LT5_L1T_8DAY_NDVI/19851117,0.028623125167291475,
1_1_19851203_5,UCDSNM014503,0.05724014451716463,0.05726913052300612,LANDSAT/LT5_L1T_8DAY_NDVI/19851203,0.006316371031885753,
1_1_19860109_5,UCDSNM014503,0.06336544162271332,0.06238189884103262,LANDSAT/LT5_L1T_8DAY_NDVI/19860109,0.010998067326028824,
1_1_19860125_5,UCDSNM014503,0.028389788284533923,0.020568544307771403,LANDSAT/LT5_L1T_8DAY_NDVI/19860125,0.028184117181775766,
1_1_19860210_5,UCDSNM014503,0.025525719846996912,0.019161817878484727,LANDSAT/LT5_L1T_8DAY_NDVI/19860210,0.0237958834310659,
1_1_19860226_5,UCDSNM014503,-0.04077298217970964,-0.046459885127842424,LANDSAT/LT5_L1T_8DAY_NDVI/19860226,0.021744751048197345,
1_1_19860314_5,UCDSNM014503,0.05514057000774288,0.051190156023949385,LANDSAT/LT5_L1T_8DAY_NDVI/19860314,0.031109847804257847,
1_1_19860330_5,UCDSNM014503,-0.0031252311046661803,-0.005010595389952262,LANDSAT/LT5_L1T_8DAY_NDVI/19860330,0.02531688539850405,
1_1_19860415_5,UCDSNM014503,0.03784221289566539,0.035671158840781765,LANDSAT/LT5_L1T_8DAY_NDVI/19860415,0.028632235617271812,
1_1_19860501_5,UCDSNM014503,-0.035816158213052805,-0.04043575252095858,LANDSAT/LT5_L1T_8DAY_NDVI/19860501,0.02347621764297687,
1_1_19860517_5,UCDSNM014503,-0.030339185197903403,-0.038337396261723417,LANDSAT/LT5_L1T_8DAY_NDVI/19860517,0.0321431405123051,
