Date,Station Id,Station Name,Elevation (ft),Air_Max_C,Air_Min_C
Oct-89,301,Adin Mtn,6190,0,0
Nov-89,301,Adin Mtn,6190,0,0
Dec-89,301,Adin Mtn,6190,0,0
Jan-90,301,Adin Mtn,6190,0,0
Feb-90,301,Adin Mtn,6190,0,0
Mar-90,301,Adin Mtn,6190,0,0
Apr-90,301,Adin Mtn,6190,0,0
May-90,301,Adin Mtn,6190,0,0
Jun-90,301,Adin Mtn,6190,0,0
Jul-90,301,Adin Mtn,6190,29.5,0
Aug-90,301,Adin Mtn,6190,32.7,-1.5
Sep-90,301,Adin Mtn,6190,28.8,-3.1
Oct-90,301,Adin Mtn,6190,20.1,-9.1
Nov-90,301,Adin Mtn,6190,18.7,-15.1
Dec-90,301,Adin Mtn,6190,13,-29.5
Jan-91,301,Adin Mtn,6190,10,-17.7
Feb-91,301,Adin Mtn,6190,13.7,-7.6
Mar-91,301,Adin Mtn,6190,12.3,-16.7
Apr-91,301,Adin Mtn,6190,13,-11.3
May-91,301,Adin Mtn,6190,18.7,-5.3
Jun-91,301,Adin Mtn,6190,25.7,-4.1
Jul-91,301,Adin Mtn,6190,30.9,0.8
Aug-91,301,Adin Mtn,6190,26.9,-1
Sep-91,301,Adin Mtn,6190,28.2,-2.8
Oct-91,301,Adin Mtn,6190,25.2,-11.4
Nov-91,301,Adin Mtn,6190,18.7,-14.2
Dec-91,301,Adin Mtn,6190,11.4,-16.2
Jan-92,301,Adin Mtn,6190,10,-17.8
Feb-92,301,Adin Mtn,6190,15.6,-13.9
Mar-92,301,Adin Mtn,6190,15.3,-12.1
Apr-92,301,Adin Mtn,6190,20.7,-7.3
May-92,301,Adin Mtn,6190,26.7,-5.1
Jun-92,301,Adin Mtn,6190,30.6,-0.8
Jul-92,301,Adin Mtn,6190,31.3,-1.6
Aug-92,301,Adin Mtn,6190,34.3,-3.8
Sep-92,301,Adin Mtn,6190,27,-4.1
Oct-92,301,Adin Mtn,6190,25.3,-7.7
Nov-92,301,Adin Mtn,6190,14.7,-15.1
Dec-92,301,Adin Mtn,6190,6.2,-21
Jan-93,301,Adin Mtn,6190,11.3,-22.1
Feb-93,301,Adin Mtn,6190,6.7,-22.6
Mar-93,301,Adin Mtn,6190,14.4,-12.4
Apr-93,301,Adin Mtn,6190,15.4,-10.3
May-93,301,Adin Mtn,6190,21.6,-5.9
Jun-93,301,Adin Mtn,6190,26.2,-2.8
Jul-93,301,Adin Mtn,6190,27.6,-1.1
Aug-93,301,Adin Mtn,6190,30.1,-2.3
Sep-93,301,Adin Mtn,6190,28.5,-6.4
Oct-93,301,Adin Mtn,6190,,
Nov-93,301,Adin Mtn,6190,14.6,-22.2
Dec-93,301,Adin Mtn,6190,,
Jan-94,301,Adin Mtn,6190,18.9,-15.6
Feb-94,301,Adin Mtn,6190,12.4,-19.1
Mar-94,301,Adin Mtn,6190,19.6,-15.5
Apr-94,301,Adin Mtn,6190,19.7,-8.5
May-94,301,Adin Mtn,6190,23.1,-5.6
Jun-94,301,Adin Mtn,6190,26.9,-4.6
Jul-94,301,Adin Mtn,6190,32.4,-0.7
Aug-94,301,Adin Mtn,6190,28,-2.3
Sep-94,301,Adin Mtn,6190,28.3,-2.1
Oct-94,301,Adin Mtn,6190,19.9,-12.2
Nov-94,301,Adin Mtn,6190,8.1,-19.1
Dec-94,301,Adin Mtn,6190,11,-18.7
Jan-95,301,Adin Mtn,6190,8,-19.1
Feb-95,301,Adin Mtn,6190,16.6,-19.9
Mar-95,301,Adin Mtn,6190,13,-21.5
Apr-95,301,Adin Mtn,6190,16.8,-14.4
May-95,301,Adin Mtn,6190,21.8,-8.5
Jun-95,301,Adin Mtn,6190,26.9,-3.3
Jul-95,301,Adin Mtn,6190,28.5,0.5
Aug-95,301,Adin Mtn,6190,28,-4.3
Sep-95,301,Adin Mtn,6190,28.7,-4.8
Oct-95,301,Adin Mtn,6190,21.6,-7.3
Nov-95,301,Adin Mtn,6190,18.4,-12.8
Dec-95,301,Adin Mtn,6190,9.1,-17.3
Jan-96,301,Adin Mtn,6190,13.8,-14.9
Feb-96,301,Adin Mtn,6190,15.9,-22.1
Mar-96,301,Adin Mtn,6190,16.4,-17
Apr-96,301,Adin Mtn,6190,21.6,-11.8
May-96,301,Adin Mtn,6190,22.7,-6.7
Jun-96,301,Adin Mtn,6190,27.8,-2.3
Jul-96,301,Adin Mtn,6190,31.8,2.3
Aug-96,301,Adin Mtn,6190,31.5,-1.1
Sep-96,301,Adin Mtn,6190,25.7,-5.1
Oct-96,301,Adin Mtn,6190,27.4,-11.5
Nov-96,301,Adin Mtn,6190,17.3,-10
Dec-96,301,Adin Mtn,6190,10.6,-13.8
Jan-97,301,Adin Mtn,6190,11.9,-23.1
Feb-97,301,Adin Mtn,6190,13.9,-18.8
Mar-97,301,Adin Mtn,6190,16.6,-17.1
Apr-97,301,Adin Mtn,6190,17.8,-9.8
May-97,301,Adin Mtn,6190,24.2,-6.3
Jun-97,301,Adin Mtn,6190,24,-2.8
Jul-97,301,Adin Mtn,6190,28.1,-0.3
Aug-97,301,Adin Mtn,6190,32.4,-1.8
Sep-97,301,Adin Mtn,6190,25.3,-3.5
Oct-97,301,Adin Mtn,6190,20.6,-5.5
Nov-97,301,Adin Mtn,6190,17.7,-9.9
Dec-97,301,Adin Mtn,6190,12.1,-17.7
Jan-98,301,Adin Mtn,6190,8.2,-17.5
Feb-98,301,Adin Mtn,6190,5.6,-13.6
Mar-98,301,Adin Mtn,6190,14.7,-22
Apr-98,301,Adin Mtn,6190,20.9,-11.7
May-98,301,Adin Mtn,6190,18.4,-3.9
Jun-98,301,Adin Mtn,6190,21.9,-1.4
Jul-98,301,Adin Mtn,6190,33.5,1.2
Aug-98,301,Adin Mtn,6190,32.8,-1.6
Sep-98,301,Adin Mtn,6190,31.7,-3.2
Oct-98,301,Adin Mtn,6190,17.7,-7.5
Nov-98,301,Adin Mtn,6190,11.9,-16.1
Dec-98,301,Adin Mtn,6190,16.6,-28.3
Jan-99,301,Adin Mtn,6190,15.7,-13.8
Feb-99,301,Adin Mtn,6190,12.1,-19.7
Mar-99,301,Adin Mtn,6190,12.4,-18.2
Apr-99,301,Adin Mtn,6190,17.7,-11.5
May-99,301,Adin Mtn,6190,25,-8.4
Jun-99,301,Adin Mtn,6190,25.5,-2.4
Jul-99,301,Adin Mtn,6190,32.4,-2.6
Aug-99,301,Adin Mtn,6190,29.8,-2
Sep-99,301,Adin Mtn,6190,26.5,-4.5
Oct-99,301,Adin Mtn,6190,22.2,-6.2
Nov-99,301,Adin Mtn,6190,17.8,-17.7
Dec-99,301,Adin Mtn,6190,10.9,-17.1
Jan-00,301,Adin Mtn,6190,5.1,-16.4
Feb-00,301,Adin Mtn,6190,12.8,-16.7
Mar-00,301,Adin Mtn,6190,14.3,-12.8
Apr-00,301,Adin Mtn,6190,20.4,-6.7
May-00,301,Adin Mtn,6190,24.9,-7.8
Jun-00,301,Adin Mtn,6190,28.2,-2.3
Jul-00,301,Adin Mtn,6190,31.4,-2.7
Aug-00,301,Adin Mtn,6190,30.6,-1.7
Sep-00,301,Adin Mtn,6190,26.8,-5.1
Oct-00,301,Adin Mtn,6190,22.5,-8
Nov-00,301,Adin Mtn,6190,10.8,-19.6
Dec-00,301,Adin Mtn,6190,14.2,-13.6
Jan-01,301,Adin Mtn,6190,16.1,-20.7
Feb-01,301,Adin Mtn,6190,11.6,-20.2
