"course_number","name","id","elev_feet","latitude","longitude","april.1.Avg.inches","agency"
1,"PARKS CREEK","PRK",6700,41.367,122.55,37.4,"Mount Shasta Ranger District"
2,"LITTLE SHASTA","LSH",6200,41.808,122.195,19,"Goosenest Ranger District"
3,"SWEETWATER","SWT",5850,41.382,122.535,13.7,"Mount Shasta Ranger District"
5,"MIDDLE BOULDER 1","MBL",6600,41.217,122.807,32.4,"Salmon/Scott River Ranger District"
417,"BOX CAMP","BXC",6450,41.597,123.165,35.9,"Salmon/Scott River Ranger District"
311,"MIDDLE BOULDER 3","MB3",6200,41.225,122.811,28.3,"Salmon/Scott River Ranger District"
4,"ETNA MOUNTAIN","ETN",5900,41.4,123.001,29.1,"Salmon/Scott River Ranger District"
298,"DYNAMITE MEADOW","DYM",5700,41.233,122.817,18.6,"Salmon/Scott River Ranger District"
285,"SWAMPY JOHN","SWJ",5500,41.397,122.993,34,"Salmon/Scott River Ranger District"
9,"DEADFALL LAKES","DDF",7200,41.318,122.503,34.2,"Mount Shasta Ranger District"
10,"RED ROCK MOUNTAIN","RRM",6700,41.023,122.885,44.1,"Weaverville Ranger District"
11,"BEAR BASIN","BBS",6500,40.967,122.867,39.1,"Weaverville Ranger District"
12,"SHIMMY LAKE","SHM",6400,41.008,122.8,50.3,"Weaverville Ranger District"
13,"WOLFORD CABIN","WLC",6150,41.2,122.833,36,"Salmon/Scott River Ranger District"
16,"HIGHLAND LAKES","HIG",6030,41.093,122.483,35.2,"Weaverville Ranger District"
15,"MUMBO BASIN","MUM",5650,41.197,122.523,24.1,"Weaverville Ranger District"
14,"WHALAN","WHN",5400,41.15,122.45,21.5,"Weaverville Ranger District"
17,"BIG FLAT (COURSE)","BFT",5100,41.077,122.938,13.1,"Weaverville Ranger District"
63,"PLASKETT MEADOWS","PSM",6000,39.725,122.85,17.3,"Covelo Ranger District"
18,"MOUNT SHASTA","MSH",7900,41.372,122.23,53.6,"Mount Shasta Ranger District"
20,"NORTH FORK SACRAMENTO R","NFS",6900,41.305,122.493,25.4,"Mount Shasta Ranger District"
19,"SAND FLAT (COURSE)","SFT",6800,41.353,122.247,43.6,"Mount Shasta Ranger District"
21,"GRAY ROCK LAKES","GYR",6200,41.217,122.417,48.4,"Mount Shasta Ranger District"
22,"SLATE CREEK","SLT",5700,41.045,122.478,30.1,"Weaverville Ranger District"
23,"BREWER CREEK","BWR",6250,41.435,122.1,36.2,"McCloud Ranger District"
25,"STOUTS MEADOW","STM",5400,41.17,121.938,37.8,"McCloud Ranger District"
26,"ASH CREEK","ASH",5000,41.4,122.05,19.7,"McCloud Ranger District"
27,"DEAD HORSE CANYON","DHC",4500,41.208,121.775,11.6,"McCloud Ranger District"
30,"CEDAR PASS","CDP",7100,41.583,120.303,16.7,"Big Valley Ranger District"
28,"BLUE LAKE RANCH","BLU",6800,41.15,120.25,10.4,"Big Valley Ranger District"
31,"BLACKS MOUNTAIN","BMN",6700,40.762,121.195,8.4,"Hat Creek Ranger District"
32,"MEDICINE LAKE","MDC",6700,41.587,121.613,32.9,"Doublehead Ranger District"
33,"THOUSAND LAKES","THL",6500,40.71,121.577,34.6,"Hat Creek Ranger District"
35,"ADIN MOUNTAIN","ADI",6200,41.237,120.793,12.5,"Big Valley Ranger District"
34,"SNOW MOUNTAIN","SMT",6050,40.767,121.783,32.8,"Hat Creek Ranger District"
343,"NEW MANZANITA LAKE","NMN",5900,40.533,121.562,8,"Lassen Volcanic National Park"
37,"MCELROY PASS","MCP",5300,40.695,121.48,1.3,"Hat Creek Ranger District"
41,"BURNEY SPRINGS","BNS",4700,40.78,121.617,1.8,"Hat Creek Ranger District"
62,"ANTHONY PEAK","ATP",6200,39.842,122.95,30.1,"Covelo Ranger District"
47,"LOWER LASSEN PEAK","LLP",8250,40.468,121.507,80.2,"Pacific Gas and Electric Company, Rogers Flat"
361,"KETTLE ROCK","KTL",7300,40.14,120.715,23.4,"CA Dept of Water Resources, Beckwourth"
48,"MOUNT DYER 1","MDY",7100,40.243,121.035,25.9,"Pacific Gas and Electric Company, Rogers Flat"
359,"GRIZZLY RIDGE","GRZ",6900,39.917,120.645,30.4,"CA Dept of Water Resources, Beckwourth"
279,"EUREKA BOWL","ERB",6800,39.755,120.72,42.7,"CA Dept of Water Resources, Beckwourth"
388,"PILOT PEAK (DWR)","PLP",6800,39.786,120.875,45.5,"Pacific Gas and Electric Company, Auburn"
280,"ROWLAND CREEK","RWL",6700,40.013,120.293,17.4,"CA Dept of Water Resources, Beckwourth"
360,"MOUNT HOUGH","MHG",6700,40.042,120.878,30.7,"CA Dept of Water Resources, Beckwourth"
75,"CHURCH MEADOWS","CHU",6700,39.682,120.623,30.7,"CA Dept of Water Resources, Beckwourth"
53,"THREE LAKES","3LK",6250,39.973,121.213,40.8,"Pacific Gas and Electric Company, Rogers Flat"
52,"EUREKA LAKE","EUR",6200,39.762,120.713,31.7,"CA Dept of Water Resources, Beckwourth"
51,"HARKNESS FLAT","HRF",6200,40.418,121.275,28.5,"Pacific Gas and Electric Company, Rogers Flat"
290,"MOUNT DYER 2","MD2",6050,40.258,121.047,16.6,"Pacific Gas and Electric Company, Rogers Flat"
54,"MILL CREEK FLAT","MLF",5900,39.942,121.19,39,"Pacific Gas and Electric Company, Rogers Flat"
387,"FREDONYER PASS 3","FP3",5850,40.375,120.872,2.7,"Eagle Lake Ranger District"
353,"FRENCHMAN COVE","FCV",5800,39.897,120.265,2.1,"CA Dept of Water Resources, Beckwourth"
354,"ANTELOPE RIDGE","ANR",5650,40.155,120.542,3,"CA Dept of Water Resources, Beckwourth"
355,"ABBEY","ABY",5650,39.955,120.538,9,"CA Dept of Water Resources, Beckwourth"
49,"LETTERBOX","LTT",5600,39.857,121.263,49,"Pacific Gas and Electric Company, Rogers Flat"
55,"MOUNT STOVER","MSV",5600,40.293,121.292,14.7,"Pacific Gas and Electric Company, Rogers Flat"
56,"BROWNS CAMP","BCP",5400,39.9,121.257,23.3,"Pacific Gas and Electric Company, Rogers Flat"
58,"FEATHER RIVER MEADOW","FEM",5400,40.355,121.422,23.1,"Pacific Gas and Electric Company, Rogers Flat"
59,"WARNER CREEK","WRN",5100,40.387,121.31,14.7,"Pacific Gas and Electric Company, Rogers Flat"
434,"HUMBUG SUMMIT 2","HS2",4850,40.187,121.298,14.3,"Pacific Gas and Electric Company, Rogers Flat"
61,"CHESTER FLAT","CHF",4600,40.283,121.25,6.1,"Eagle Lake Ranger District"
64,"WEBBER PEAK","WPK",7800,39.483,120.44,41.9,"Nevada Irrigation District"
65,"CASTLE CREEK 5","CC5",7400,39.353,120.353,52.1,"Central Sierra Snow Lab"
66,"MEADOW LAKE","MWL",7200,39.417,120.508,55.8,"Pacific Gas and Electric Company, Auburn"
67,"RED MOUNTAIN","RDM",7200,39.343,120.508,51.9,"Pacific Gas and Electric Company, Auburn"
68,"ENGLISH MOUNTAIN","ENM",7100,39.436,120.525,45.4,"Nevada Irrigation District"
