WY,TUL_tot_ppt_in,SAC_maf_WYsum,SJ_maf_WYsum,SAC_Index,SJ_Index,SAC,SJ
1921.0,0.0,23.8,5.9,9.2,3.23,AN,AN
1922.0,29.86,17.98,7.68,8.97,4.54,AN,W
1923.0,30.35,13.21,5.51,7.06,3.55,BN,AN
1924.0,11.78,5.74,1.5,3.87,1.42,C,C
1925.0,36.14,15.99,5.51,6.39,2.93,D,BN
1926.0,22.74,11.76,3.49,5.75,2.3,D,D
1927.0,34.4,23.83,6.5,9.52,3.56,W,AN
1928.0,20.8,16.76,4.37,8.27,2.63,AN,BN
1929.0,23.77,8.4,2.84,5.22,2.0,C,C
1930.0,22.4,13.52,3.25,5.9,2.02,D,C
1931.0,18.77,6.1,1.66,3.66,1.2,C,C
1932.0,35.81,13.12,6.63,5.48,3.41,D,AN
1933.0,24.220000000000002,8.94,3.34,4.63,2.44,C,D
1934.0,15.98,8.63,2.28,4.07,1.44,C,C
1935.0,33.46,16.59,6.41,6.98,3.56,BN,AN
1936.0,36.32,17.35,6.49,7.75,3.74,BN,AN
1937.0,41.38,13.33,6.53,6.87,3.9,BN,W
1938.0,47.589999999999996,31.83,11.24,12.62,5.89,W,W
1939.0,24.88,8.18,2.9,5.58,2.2,D,D
1940.0,37.63,22.43,6.59,8.88,3.36,AN,AN
1941.0,42.51,27.08,7.93,11.47,4.43,W,W
1942.0,32.27,25.24,7.38,11.27,4.44,W,W
1943.0,42.42,21.13,7.28,9.77,4.03,W,W
1944.0,25.7,10.43,3.92,6.35,2.76,D,BN
1945.0,37.53,15.06,6.6,6.8,3.59,BN,AN
1946.0,27.57,17.62,5.73,7.7,3.3,BN,AN
1947.0,25.15,10.39,3.42,5.61,2.18,D,D
1948.0,24.57,15.75,4.21,7.12,2.7,BN,BN
1949.0,20.31,11.97,3.79,6.09,2.53,D,BN
1950.0,25.76,14.44,4.65,6.62,2.85,BN,BN
1951.0,34.96,22.95,7.25,9.18,3.14,AN,AN
1952.0,44.79,28.6,9.3,12.38,5.17,W,W
1953.0,25.98,20.09,4.35,9.55,3.03,W,BN
1954.0,25.88,17.43,4.3,8.51,2.72,AN,BN
1955.0,23.349999999999998,10.98,3.5,6.14,2.3,D,D
1956.0,37.46,29.89,9.67,11.38,4.46,W,W
1957.0,22.97,14.89,4.29,7.83,3.01,AN,BN
1958.0,42.53,29.71,8.36,12.16,4.77,W,W
1959.0,13.43,12.05,2.98,6.75,2.21,BN,D
1960.0,20.22,13.06,2.96,6.2,1.85,D,C
1961.0,15.71,11.97,2.1,5.68,1.38,D,C
1962.0,28.34,15.11,5.61,6.65,3.07,BN,BN
1963.0,30.88,22.99,6.24,9.63,3.57,W,AN
1964.0,20.19,10.92,3.14,6.41,2.19,D,D
1965.0,32.05,25.64,8.13,10.15,3.81,W,W
1966.0,17.71,12.95,3.98,7.16,2.51,BN,BN
1967.0,50.07,24.06,9.98,10.2,5.25,W,W
1968.0,17.02,13.64,2.94,7.24,2.21,BN,D
1969.0,56.26,26.98,12.29,11.05,6.09,W,W
1970.0,23.509999999999998,24.06,5.61,10.4,3.18,W,AN
1971.0,23.33,22.57,4.91,10.37,2.89,W,BN
1972.0,16.47,13.43,3.57,7.29,2.16,BN,D
1973.0,37.46,20.05,6.47,8.58,3.5,AN,AN
1974.0,31.16,32.5,7.12,12.99,3.9,W,W
1975.0,28.69,19.23,6.18,9.35,3.85,W,W
1976.0,20.87,8.2,1.97,5.29,1.57,C,C
1977.0,10.88,5.12,1.05,3.11,0.84,C,C
1978.0,49.91,23.92,9.65,8.65,4.58,AN,W
1979.0,23.61,12.41,5.98,6.67,3.67,BN,AN
1980.0,40.68,22.33,9.47,9.04,4.73,AN,W
1981.0,19.919999999999998,11.1,3.22,6.21,2.44,D,D
1982.0,42.12,33.41,11.41,12.76,5.45,W,W
1983.0,56.15,37.68,15.01,15.29,7.22,W,W
1984.0,28.15,22.35,7.13,10.0,3.69,W,AN
1985.0,25.099999999999998,11.04,3.6,6.47,2.4,D,D
1986.0,43.26,25.83,9.5,9.96,4.31,W,W
1987.0,16.66,9.27,2.08,5.86,1.86,D,C
1988.0,22.85,9.23,2.48,4.65,1.48,C,C
1989.0,24.830000000000002,14.82,3.56,6.13,1.96,D,C
1990.0,18.43,9.26,2.46,4.81,1.51,C,C
1991.0,23.38,8.44,3.2,4.21,1.96,C,C
1992.0,21.01,8.87,2.58,4.06,1.56,C,C
1993.0,37.56,22.21,8.38,8.54,4.2,AN,W
1994.0,20.96,7.81,2.54,5.02,2.05,C,C
1995.0,45.45,34.55,12.32,12.89,5.95,W,W
1996.0,30.49,22.29,7.22,10.26,4.12,W,W
1997.0,34.92,25.42,9.51,10.82,4.13,W,W
1998.0,54.15,31.4,10.43,13.31,5.65,W,W
1999.0,22.77,21.19,5.91,9.8,3.59,W,AN
2e3,27.32,18.9,5.9,8.94,3.38,AN,AN
2001.0,22.330000000000002,9.81,3.18,5.76,2.2,D,D
2002.0,24.89,14.6,4.06,6.35,2.34,D,D
2003.0,31.85,19.31,4.87,8.21,2.81,AN,BN
2004.0,20.12,16.04,3.81,7.51,2.21,BN,D
2005.0,38.55,18.55,9.21,8.49,4.75,AN,W
2006.0,35.95,32.09,10.44,13.2,5.9,W,W
2007.0,16.54,10.28,2.51,6.19,1.97,D,C
2008.0,25.6,10.28,3.49,5.16,2.06,C,C
2009.0,24.93,13.02,4.94,5.78,2.72,D,BN
2010.0,33.87,16.01,6.08,7.08,3.55,BN,AN
2011.0,45.62,25.21,10.99,10.54,5.58,W,W
2012.0,21.19,11.84,2.76,6.89,2.18,BN,D
2013.0,16.06,12.19,3.05,5.83,1.71,D,C
2014.0,14.16,7.46,1.72,4.07,1.16,C,C
2015.0,13.6,9.27,1.43,4.01,0.81,C,C
